custom_window_entry,custom_hh_hl_counts,custom_window_exit,custom_lh_counts,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
6,1,1,1,2017-11-10,2024-01-24,2265 days,100.0,2926.008645256111,2826.008645256111,1178.5713761362686,100.0,396.30854302764476,70.8521335994884,1256 days,138,137,1,225.88253945172482,35.76642335766424,304.96897978441837,-25.18249175082491,22.377631164901015,-5.1517770821168725,11 days 23:01:13.469387755,3 days 23:10:54.545454545,1.4599291699185684,18.97902267010499,1.064958245816118,1.020446025467938,1.2923909589946723,1.9124337158068676
6,1,2,1,2017-11-10,2024-01-24,2265 days,100.0,2950.2564265990527,2850.2564265990527,1178.5713761362686,100.0,342.96055328345136,55.85513696121984,752 days,115,114,1,227.7544240186735,37.719298245614034,231.3200835031545,-25.182491750824916,22.608238814593275,-5.470911481067918,12 days 13:57:12.558139534,4 days 05:04:13.521126760,1.5470179921887575,23.00440353140685,1.0771316947954659,1.2985390770382501,1.3136266178703626,1.940073443334589
7,2,6,5,2017-11-10,2024-01-24,2265 days,100.0,1421.7145927660936,1321.7145927660936,1178.5713761362686,100.0,118.39888603214298,44.77405699838067,1256 days,70,69,1,10.362863031494953,49.275362318840585,82.28959989221902,-15.710167982765721,16.7196932734292,-5.931918699524876,11 days 21:52:56.470588235,6 days 15:46:17.142857142,1.8141655563335244,19.005097532385484,0.9415294932309662,1.1922442994907496,1.325880139837153,1.866874942525872
9,2,2,2,2017-11-10,2024-01-24,2265 days,100.0,817.4695601971738,717.4695601971738,1178.5713761362686,100.0,63.69873613959549,60.69907193168503,634 days,70,69,1,-0.8992982631727955,40.57971014492754,132.95338241856223,-21.884241845435515,21.30069603352089,-6.534417423183818,18 days 00:00:00,6 days 02:20:29.268292682,1.6606318878031332,10.411142876236905,0.8053536377582596,0.663852370983544,1.250516431159854,1.4899131934510614
9,2,6,5,2017-11-10,2024-01-24,2265 days,100.0,975.4041201906608,875.4041201906608,1178.5713761362686,100.0,69.76994587996333,51.2000969278632,519 days,61,60,1,-1.0730420726217744,48.333333333333336,132.95338241856223,-21.88424184543552,20.007731360126577,-7.6136644008206895,15 days 08:16:33.103448276,7 days 21:40:38.709677419,1.7032813468289625,14.607952704388033,0.8486981905936634,0.866132912424618,1.2817519265973456,1.5963040622031308
