custom_window_entry,custom_hh_hl_counts,custom_window_exit,custom_lh_counts,Total Return [%]_count,Total Return [%]_mean,Total Return [%]_std,Total Return [%]_min,Total Return [%]_25%,Total Return [%]_50%,Total Return [%]_75%,Total Return [%]_max,Max Drawdown [%]_count,Max Drawdown [%]_mean,Max Drawdown [%]_std,Max Drawdown [%]_min,Max Drawdown [%]_25%,Max Drawdown [%]_50%,Max Drawdown [%]_75%,Max Drawdown [%]_max,Max Drawdown Duration_count,Max Drawdown Duration_mean,Max Drawdown Duration_std,Max Drawdown Duration_min,Max Drawdown Duration_25%,Max Drawdown Duration_50%,Max Drawdown Duration_75%,Max Drawdown Duration_max,Total Trades_count,Total Trades_mean,Total Trades_std,Total Trades_min,Total Trades_25%,Total Trades_50%,Total Trades_75%,Total Trades_max,Win Rate [%]_count,Win Rate [%]_mean,Win Rate [%]_std,Win Rate [%]_min,Win Rate [%]_25%,Win Rate [%]_50%,Win Rate [%]_75%,Win Rate [%]_max,Sharpe Ratio_count,Sharpe Ratio_mean,Sharpe Ratio_std,Sharpe Ratio_min,Sharpe Ratio_25%,Sharpe Ratio_50%,Sharpe Ratio_75%,Sharpe Ratio_max
1,1,1,1,15.0,-38.02923177501877,74.4639867390197,-82.78198400498432,-78.18962576279577,-73.69454205739099,-43.00855739124558,141.48224405308193,15.0,72.25624632778785,11.186230436395068,49.11069140441195,68.81992916716865,77.97318926159132,80.36672471828594,82.78198400498432,15,704 days 12:48:00,123 days 08:41:46.083687338,383 days 00:00:00,698 days 00:00:00,747 days 00:00:00,787 days 12:00:00,791 days 00:00:00,15.0,98.93333333333334,10.395511852076677,76.0,95.0,103.0,106.0,110.0,15.0,24.787982287818817,3.0968543706326903,20.618556701030926,22.929754426042262,24.528301886792452,25.914765389582435,32.0,15.0,-0.7895380769413551,0.8527974394165707,-1.6960927489151327,-1.2868627234739076,-1.1916309589584673,-0.40600049153541085,0.9558589395529984
1,1,1,2,15.0,-8.618898494452093,101.01908827133273,-79.92325077475166,-71.90692338971563,-50.034390382451946,22.938260042945018,281.91087546610754,15.0,86.19206167575496,9.876264033380389,69.00708708247465,79.28572595913148,88.60841245780504,94.2070578113522,98.02792775265505,15,579 days 20:48:00,199 days 12:41:49.119202796,329 days 00:00:00,342 days 12:00:00,672 days 00:00:00,758 days 00:00:00,786 days 00:00:00,15.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,15.0,0.3110553794209343,0.4182707101709129,-0.23745405809723075,-0.03326776435743828,0.2589103865201855,0.6350988572844111,1.1137298127996476
1,1,1,3,15.0,-8.618898494452093,101.01908827133273,-79.92325077475166,-71.90692338971563,-50.034390382451946,22.938260042945018,281.91087546610754,15.0,86.19206167575496,9.876264033380389,69.00708708247465,79.28572595913148,88.60841245780504,94.2070578113522,98.02792775265505,15,579 days 20:48:00,199 days 12:41:49.119202796,329 days 00:00:00,342 days 12:00:00,672 days 00:00:00,758 days 00:00:00,786 days 00:00:00,15.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,15.0,0.3110553794209343,0.4182707101709129,-0.23745405809723075,-0.03326776435743828,0.2589103865201855,0.6350988572844111,1.1137298127996476
1,1,1,4,15.0,-8.618898494452093,101.01908827133273,-79.92325077475166,-71.90692338971563,-50.034390382451946,22.938260042945018,281.91087546610754,15.0,86.19206167575496,9.876264033380389,69.00708708247465,79.28572595913148,88.60841245780504,94.2070578113522,98.02792775265505,15,579 days 20:48:00,199 days 12:41:49.119202796,329 days 00:00:00,342 days 12:00:00,672 days 00:00:00,758 days 00:00:00,786 days 00:00:00,15.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,15.0,0.3110553794209343,0.4182707101709129,-0.23745405809723075,-0.03326776435743828,0.2589103865201855,0.6350988572844111,1.1137298127996476
1,1,1,5,15.0,-8.618898494452093,101.01908827133273,-79.92325077475166,-71.90692338971563,-50.034390382451946,22.938260042945018,281.91087546610754,15.0,86.19206167575496,9.876264033380389,69.00708708247465,79.28572595913148,88.60841245780504,94.2070578113522,98.02792775265505,15,579 days 20:48:00,199 days 12:41:49.119202796,329 days 00:00:00,342 days 12:00:00,672 days 00:00:00,758 days 00:00:00,786 days 00:00:00,15.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,15.0,0.3110553794209343,0.4182707101709129,-0.23745405809723075,-0.03326776435743828,0.2589103865201855,0.6350988572844111,1.1137298127996476
1,1,2,1,15.0,-38.02923177501877,74.4639867390197,-82.78198400498432,-78.18962576279577,-73.69454205739099,-43.00855739124558,141.48224405308193,15.0,72.25624632778785,11.186230436395068,49.11069140441195,68.81992916716865,77.97318926159132,80.36672471828594,82.78198400498432,15,704 days 12:48:00,123 days 08:41:46.083687338,383 days 00:00:00,698 days 00:00:00,747 days 00:00:00,787 days 12:00:00,791 days 00:00:00,15.0,98.93333333333334,10.395511852076677,76.0,95.0,103.0,106.0,110.0,15.0,24.787982287818817,3.0968543706326903,20.618556701030926,22.929754426042262,24.528301886792452,25.914765389582435,32.0,15.0,-0.7895380769413551,0.8527974394165707,-1.6960927489151327,-1.2868627234739076,-1.1916309589584673,-0.40600049153541085,0.9558589395529984
1,1,2,2,15.0,32.83097930872733,67.08361968340402,-63.96783703630962,-21.90073657802644,35.04623882599738,85.12597549417642,160.39815455902448,15.0,60.31898622001543,17.306832500279597,28.006616941727568,46.78215419469474,66.27384755296137,74.37847661716728,80.66238605394551,15,561 days 09:36:00,161 days 19:32:25.077876624,210 days 00:00:00,453 days 00:00:00,567 days 00:00:00,685 days 12:00:00,791 days 00:00:00,15.0,81.46666666666667,5.054936295580879,69.0,80.5,82.0,84.0,88.0,15.0,34.87948490396026,2.815908845794016,31.03448275862069,32.73809523809524,34.5679012345679,36.421052631578945,39.705882352941174,15.0,0.4246658690159745,0.40649579283838466,-0.5210142150904375,0.18458847347656232,0.5414561328025238,0.7541201460058733,0.9520300826786341
1,1,2,3,15.0,-8.618898494452093,101.01908827133273,-79.92325077475166,-71.90692338971563,-50.034390382451946,22.938260042945018,281.91087546610754,15.0,86.19206167575496,9.876264033380389,69.00708708247465,79.28572595913148,88.60841245780504,94.2070578113522,98.02792775265505,15,579 days 20:48:00,199 days 12:41:49.119202796,329 days 00:00:00,342 days 12:00:00,672 days 00:00:00,758 days 00:00:00,786 days 00:00:00,15.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,15.0,0.3110553794209343,0.4182707101709129,-0.23745405809723075,-0.03326776435743828,0.2589103865201855,0.6350988572844111,1.1137298127996476
1,1,2,4,15.0,-8.618898494452093,101.01908827133273,-79.92325077475166,-71.90692338971563,-50.034390382451946,22.938260042945018,281.91087546610754,15.0,86.19206167575496,9.876264033380389,69.00708708247465,79.28572595913148,88.60841245780504,94.2070578113522,98.02792775265505,15,579 days 20:48:00,199 days 12:41:49.119202796,329 days 00:00:00,342 days 12:00:00,672 days 00:00:00,758 days 00:00:00,786 days 00:00:00,15.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,15.0,0.3110553794209343,0.4182707101709129,-0.23745405809723075,-0.03326776435743828,0.2589103865201855,0.6350988572844111,1.1137298127996476
1,1,2,5,15.0,-8.618898494452093,101.01908827133273,-79.92325077475166,-71.90692338971563,-50.034390382451946,22.938260042945018,281.91087546610754,15.0,86.19206167575496,9.876264033380389,69.00708708247465,79.28572595913148,88.60841245780504,94.2070578113522,98.02792775265505,15,579 days 20:48:00,199 days 12:41:49.119202796,329 days 00:00:00,342 days 12:00:00,672 days 00:00:00,758 days 00:00:00,786 days 00:00:00,15.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,15.0,0.3110553794209343,0.4182707101709129,-0.23745405809723075,-0.03326776435743828,0.2589103865201855,0.6350988572844111,1.1137298127996476
