window_entry,hh_hl_counts,window_exit,lh_counts,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,Total Trades per year
4,1,3,1,2014-09-17,2024-01-24,3417,100.0,9808.883240189874,9708.883240189874,8663.195588713,100.0,1584.4090850038215,49.18892861421119,826,193,193,0,0.0,36.787564766839374,126.8819456842778,-14.223737939822495,14.589505396895913,-3.4728039007879583,12 days 23:39:43.098591549,3 days 12:00:00,1.5262986846118123,50.305094508755786,1.33530994524486,1.2850127278477304,1.3879225003006086,2.2147137562322023,20.333625987708515
4,1,3,2,2014-09-17,2024-01-24,3417,100.0,13189.568066265498,13089.568066265496,8663.195588713,100.0,1881.603698353386,42.55658865801595,775,196,196,0,0.0,37.244897959183675,126.8819456842778,-14.22373793982251,14.513836015887962,-3.383833263493483,13 days 10:50:57.534246575,3 days 21:51:13.170731707,1.6354333522981976,66.78351054217089,1.377642313689386,1.6085338143392234,1.3857946105142795,2.277417003174659,20.64969271290606
2,1,8,4,2014-09-17,2024-01-24,3417,100.0,8874.798950853861,8774.798950853861,8663.195588713,100.0,1352.8792326269388,40.6596910695487,692,206,206,0,0.0,37.37864077669903,104.94847686212614,-14.609119151330916,11.419608594032878,-2.3965015359542496,8 days 13:42:51.428571428,2 days 14:41:51.627906976,1.7484826238116984,42.59611141191193,1.4525128201487982,1.5118917002634702,1.519450469152798,2.5546819923017243,21.70324846356453
2,1,7,5,2014-09-17,2024-01-24,3417,100.0,14821.281618976556,14721.281618976556,8663.195588713,100.0,1865.9578891185276,38.1056382461007,851,191,191,0,0.0,36.64921465968586,108.27583494361019,-14.60911915133091,14.69737560022491,-3.034424766420035,12 days 07:53:08.571428571,3 days 14:52:33.719008264,1.7199588108564468,77.07477287422282,1.466349808713317,1.8518421340752365,1.4441710923534212,2.4944509701960236,20.122914837576822
2,1,9,4,2014-09-17,2024-01-24,3417,100.0,7440.678825591516,7340.678825591516,8663.195588713,100.0,1098.2613461230285,35.27209242409322,1015,198,198,0,0.0,37.878787878787875,104.94847686212616,-9.240770825724006,10.807479823194223,-2.2946086577085985,7 days 20:09:36,2 days 13:04:23.414634146,1.7818742998654549,37.074135482785415,1.4261998325663339,1.6574407268749212,1.5427569633443126,2.528370091903503,20.860403863037753
2,1,7,3,2014-09-17,2024-01-24,3417,100.0,11320.166160028659,11220.166160028659,8663.195588713,100.0,1918.9486369000663,37.38220057876043,1014,222,222,0,0.0,38.288288288288285,86.8623048721336,-14.609119151330919,10.66725972699148,-2.389303157244611,7 days 15:48:42.352941176,2 days 11:54:44.671532846,1.6878595244332617,50.5412890091381,1.5263018520552891,1.7582117523861862,1.5551781143697216,2.7281926302132486,23.388937664618087
2,2,3,2,2014-09-17,2024-01-24,3417,100.0,2248.06183287833,2148.06183287833,8663.195588713,100.0,282.0741836601573,36.29653831077294,696,193,193,0,0.0,42.487046632124354,61.88712342296364,-13.810393925002664,8.921012992404654,-3.1064804932972776,5 days 20:11:42.439024390,2 days 07:47:01.621621621,1.8123592590947715,11.129854056364398,1.12427232874741,1.0867042925702075,1.4572623747437061,1.926108567042949,20.333625987708515
2,2,2,2,2014-09-17,2024-01-24,3417,100.0,3300.4427187356137,3200.4427187356137,8663.195588713,100.0,453.5575302333162,39.063300399673096,652,210,210,0,0.0,41.42857142857143,87.45007496409268,-13.81039392500267,9.296700245659597,-2.959260125781097,6 days 08:00:00,2 days 06:38:02.926829268,1.787989895075982,15.240203422550554,1.1950849214145094,1.1591982011160138,1.464497919546477,2.083102451366764,22.12467076382792
4,1,2,1,2014-09-17,2024-01-24,3417,100.0,8430.48989348049,8330.48989348049,8663.195588713,100.0,1595.5561226815457,43.02206868209091,807,231,231,0,0.0,33.76623376623377,126.88194568427782,-14.223737939822506,13.810023668029647,-3.107686836783569,12 days 16:18:27.692307692,3 days 02:40:00,1.4808540789228277,36.062726811603866,1.2840295088846327,1.4083373305340745,1.353222764901038,2.119938533741595,24.337137840210712
3,1,7,4,2014-09-17,2024-01-24,3417,100.0,8405.18514191897,8305.18514191897,8663.195588713,100.0,1257.7046738892782,43.58990370483167,965,187,187,0,0.0,37.967914438502675,104.94847686212614,-14.609119151330926,12.777963511771636,-3.0205059149326434,11 days 06:25:21.126760563,3 days 13:26:53.793103448,1.5631843477234149,44.41275476962015,1.3509874673890356,1.3888084638256002,1.4181997081094997,2.2726275801921725,19.70149253731343
2,1,4,1,2014-09-17,2024-01-24,3417,100.0,9902.430455857908,9802.430455857908,8663.195588713,100.0,2154.8438146484673,45.21419194665053,1047,285,285,0,0.0,36.84210526315789,83.72352350030187,-10.200389472559339,10.007051298625091,-2.6627107275921533,6 days 19:12:00,2 days 05:44:00,1.4848150598624208,34.39449282757161,1.4217303235388399,1.401638689635382,1.4771864101628018,2.5257613894698263,30.02633889376646
3,1,7,1,2014-09-17,2024-01-24,3417,100.0,10491.462337850116,10391.462337850116,8663.195588713,100.0,1628.9645791175333,43.48106281387227,1047,193,193,0,0.0,38.860103626943,104.94847686212614,-14.223737939822515,12.554552326876514,-3.011803629303515,9 days 19:12:00,3 days 06:18:18.305084745,1.554873079824489,53.84177377124411,1.4396436132549064,1.480769916046227,1.4747017292302904,2.4710372793176183,20.333625987708515
3,1,6,3,2014-09-17,2024-01-24,3417,100.0,10779.185271115075,10679.185271115075,8663.195588713,100.0,1680.0279958180577,43.0417537629625,1047,198,198,0,0.0,37.878787878787875,104.94847686212616,-14.223737939822506,12.790896936037646,-3.013272286739806,10 days 18:14:24,3 days 10:20:29.268292682,1.5503878649203482,53.935279147045804,1.409787265776843,1.5069369967350201,1.4362370301089176,2.379003049589157,20.860403863037753
3,2,3,2,2014-09-17,2024-01-24,3417,100.0,3525.527312644098,3425.5273126440984,8663.195588713,100.0,495.7130059054427,56.54089119605832,1074,201,201,0,0.0,41.29353233830846,75.21938454439658,-13.810393925002673,10.228672736105485,-3.348111218038451,7 days 11:33:58.554216867,2 days 15:39:39.661016949,1.6415185349533012,17.04242444101542,1.1814626982121221,0.8190453861642082,1.4148480685474996,1.9830167186655154,21.176470588235293
2,1,8,1,2014-09-17,2024-01-24,3417,100.0,10879.286401430914,10779.286401430914,8663.195588713,100.0,1628.790407210178,34.608225086843326,521,215,215,0,0.0,39.53488372093023,83.7235235003019,-9.240770825724006,10.253256127682494,-2.3832945607837273,6 days 20:36:42.352941176,2 days 09:47:04.615384615,1.8033950056989498,50.13621582060887,1.571399865692014,1.8788618882795187,1.6198885354017152,2.8908974523178914,22.651448639157156
2,1,8,5,2014-09-17,2024-01-24,3417,100.0,16757.93180556265,16657.93180556265,8663.195588713,100.0,2068.990312512602,34.79399759089387,753,189,189,0,0.0,35.978835978835974,108.27583494361018,-14.60911915133091,14.315406896551568,-2.5548081979480166,10 days 21:31:45.882352941,3 days 03:34:12.892561983,1.8293866933991112,88.13720532043726,1.5550626133171173,2.092828647646949,1.5215395297876186,2.704910514624727,19.91220368744513
2,1,8,3,2014-09-17,2024-01-24,3417,100.0,10424.886842612543,10324.886842612543,8663.195588713,100.0,1568.2906365054052,38.004389820703814,521,213,213,0,0.0,38.497652582159624,86.86230487213359,-9.240770825724029,10.717900870029023,-2.3880086263346945,7 days 09:04:23.414634146,2 days 10:59:32.519083969,1.7851076336132117,48.47364714841569,1.534978806883366,1.6912179407519579,1.5851472528554469,2.7848623033853492,22.440737489025462
2,1,8,2,2014-09-17,2024-01-24,3417,100.0,12594.46215080445,12494.46215080445,8663.195588713,100.0,1865.7774940012491,34.60822508684335,521,214,214,0,0.0,39.25233644859813,83.72352350030188,-9.240770825724,10.664616120200025,-2.3832945607837273,7 days 00:17:08.571428571,2 days 09:47:04.615384615,1.8033518858600757,58.38533715329186,1.604952551283038,1.9540149841850174,1.6333774398624752,2.9693940099571274,22.54609306409131
2,1,9,1,2014-09-17,2024-01-24,3417,100.0,10411.656585644296,10311.656585644296,8663.195588713,100.0,1472.918187696361,37.144181711352914,755,202,202,0,0.0,39.603960396039604,83.72352350030187,-9.240770825724013,10.449584467742657,-2.306687085432404,6 days 18:36:00,2 days 10:13:46.229508196,1.8422743253261795,51.047804879427204,1.5747397595497143,1.7297843343616077,1.6499515931048965,2.917286274919175,21.28182616330114
5,1,2,2,2014-09-17,2024-01-24,3417,100.0,7155.531935965649,7055.53193596565,8663.195588713,100.0,1277.092577049235,55.8981780911208,1047,228,228,0,0.0,29.385964912280706,152.60797017731528,-18.608150847276622,18.265745311305,-3.5421785364816256,17 days 13:15:13.432835820,4 days 13:42:51.428571428,1.409728858504641,30.94531550862129,1.172512066374945,1.0340471028259126,1.2751063093209578,1.8608104616315573,24.021071115013168
3,2,2,2,2014-09-17,2024-01-24,3417,100.0,2656.626217091637,2556.626217091637,8663.195588713,100.0,439.44063780961307,52.53611467521131,1016,206,206,0,0.0,38.83495145631068,96.10237992062166,-13.810393925002662,11.033551492617484,-3.481825466208454,8 days 15:18:00,2 days 20:34:17.142857142,1.5030677302678044,12.41080687908562,1.0705848683717443,0.7985601748159954,1.3456366901065704,1.7541756711664347,21.70324846356453
