Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,10.183299389002036,2018-10-19 04:00:00+00:00,9.82,0.0,2018-10-24 04:00:00+00:00,9.7,0.0,-1.2219959266802647,-0.012219959266802647,Long,Closed,0
1,0,10.0384150481016,2018-11-09 05:00:00+00:00,9.84,0.0,2018-11-19 05:00:00+00:00,9.75,0.0,-0.9034573543291344,-0.009146341463414538,Long,Closed,1
2,0,9.966858118023483,2019-01-09 05:00:00+00:00,9.82,0.0,2019-01-10 05:00:00+00:00,9.77,0.0,-0.4983429059011826,-0.005091649694501104,Long,Closed,2
3,0,9.895955672061932,2019-01-11 05:00:00+00:00,9.84,0.0,2019-01-29 05:00:00+00:00,9.86,0.0,0.19791911344124458,0.002032520325203313,Long,Closed,3
4,0,9.806444515229211,2019-02-01 05:00:00+00:00,9.95,0.0,2019-02-04 05:00:00+00:00,9.83,0.0,-1.1767733418274986,-0.01206030150753762,Long,Closed,4
5,0,9.688175837658608,2019-02-06 05:00:00+00:00,9.95,0.0,2019-02-11 05:00:00+00:00,9.94,0.0,-0.09688175837658264,-0.001005025125628105,Long,Closed,5
6,0,9.678438977520258,2019-02-26 05:00:00+00:00,9.95,0.0,2019-02-28 05:00:00+00:00,9.93,0.0,-0.19356877955040375,-0.002010050251256267,Long,Closed,6
7,0,9.581944072460237,2019-03-06 05:00:00+00:00,10.03,0.0,2019-03-11 04:00:00+00:00,9.96,0.0,-0.6707360850721926,-0.006979062811565056,Long,Closed,7
8,0,9.553169465636033,2019-03-18 04:00:00+00:00,9.99,0.0,2019-03-21 04:00:00+00:00,9.94,0.0,-0.47765847328180655,-0.005005005005005056,Long,Closed,8
9,0,9.476896655531155,2019-03-29 04:00:00+00:00,10.02,0.0,2019-04-01 04:00:00+00:00,9.99,0.0,-0.28430689966592126,-0.0029940119760477634,Long,Closed,9
10,0,9.448522713448726,2019-04-03 04:00:00+00:00,10.02,0.0,2019-04-04 04:00:00+00:00,9.97,0.0,-0.4724261356724213,-0.0049900199600796825,Long,Closed,10
11,0,9.354694285311203,2019-04-16 04:00:00+00:00,10.07,0.0,2019-04-22 04:00:00+00:00,10.01,0.0,-0.5612816571186698,-0.005958291956305835,Long,Closed,11
12,0,9.253012825688256,2019-04-26 04:00:00+00:00,10.12,0.0,2019-05-02 04:00:00+00:00,10.1,0.0,-0.1850602565137649,-0.001976284584980235,Long,Closed,12
13,0,9.253012825688256,2019-05-17 04:00:00+00:00,10.1,0.0,2019-05-21 04:00:00+00:00,10.09,0.0,-0.09253012825688245,-0.000990099009900989,Long,Closed,13
14,0,9.24385142685094,2019-06-04 04:00:00+00:00,10.1,0.0,2019-06-10 04:00:00+00:00,10.09,0.0,-0.09243851426850824,-0.0009900990099009778,Long,Closed,14
15,0,9.225564876055984,2019-06-20 04:00:00+00:00,10.11,0.0,2019-06-27 04:00:00+00:00,10.12,0.0,0.09225564876057035,0.0009891196834818142,Long,Closed,15
16,0,9.184723713299219,2019-07-09 04:00:00+00:00,10.165,0.0,2019-07-17 04:00:00+00:00,10.15,0.0,-0.1377708556994719,-0.0014756517461877242,Long,Closed,16
17,0,9.139700557841872,2019-07-23 04:00:00+00:00,10.2,0.0,2019-07-25 04:00:00+00:00,10.18,0.0,-0.18279401115682958,-0.001960784313725406,Long,Closed,17
18,0,9.095029489621725,2019-07-26 04:00:00+00:00,10.23,0.0,2019-08-05 04:00:00+00:00,10.18,0.0,-0.45475147448109965,-0.004887585532746967,Long,Closed,18
