custom_window_entry,custom_hh_hl_counts,custom_window_exit,custom_lh_counts,Total Return [%]_count,Total Return [%]_mean,Total Return [%]_std,Total Return [%]_min,Total Return [%]_25%,Total Return [%]_50%,Total Return [%]_75%,Total Return [%]_max,Max Drawdown [%]_count,Max Drawdown [%]_mean,Max Drawdown [%]_std,Max Drawdown [%]_min,Max Drawdown [%]_25%,Max Drawdown [%]_50%,Max Drawdown [%]_75%,Max Drawdown [%]_max,Max Drawdown Duration_count,Max Drawdown Duration_mean,Max Drawdown Duration_std,Max Drawdown Duration_min,Max Drawdown Duration_25%,Max Drawdown Duration_50%,Max Drawdown Duration_75%,Max Drawdown Duration_max,Total Trades_count,Total Trades_mean,Total Trades_std,Total Trades_min,Total Trades_25%,Total Trades_50%,Total Trades_75%,Total Trades_max,Win Rate [%]_count,Win Rate [%]_mean,Win Rate [%]_std,Win Rate [%]_min,Win Rate [%]_25%,Win Rate [%]_50%,Win Rate [%]_75%,Win Rate [%]_max,Sharpe Ratio_count,Sharpe Ratio_mean,Sharpe Ratio_std,Sharpe Ratio_min,Sharpe Ratio_25%,Sharpe Ratio_50%,Sharpe Ratio_75%,Sharpe Ratio_max
1,1,1,1,15.0,193.44734299701724,123.0204911742915,-21.154204930947188,76.03449747978523,226.59697458242505,283.0827067413029,346.2006943340321,15.0,40.406803895127034,10.769142795847172,21.54779418020493,34.69686912358438,34.69686912358439,47.947733453801796,58.41733227340873,15,503 days 20:48:00,257 days 22:48:58.595996404,197 days 00:00:00,309 days 12:00:00,526 days 00:00:00,568 days 00:00:00,1049 days 00:00:00,15.0,143.93333333333334,10.931387747913716,132.0,134.0,142.0,154.5,161.0,15.0,32.338943667597555,3.6877294870763784,23.91304347826087,30.537529742591392,33.08270676691729,35.20186335403727,37.086092715231786,15.0,0.9732753768180734,0.45901809532313387,-0.13567606217489078,0.7025584339853139,1.1847528896886446,1.2373876976542628,1.5002371457655153
1,1,1,2,15.0,903.1371518889298,1012.061813924039,-23.221543751961505,219.29381949341285,629.3974065270886,933.158446508646,3202.198902172788,15.0,73.17817334568346,9.386108191276284,59.17226165041982,63.06902172897681,76.63456370856908,83.39900882218973,83.39900882218973,15,543 days 22:24:00,246 days 07:58:11.992766736,168 days 00:00:00,419 days 00:00:00,485 days 00:00:00,684 days 00:00:00,1061 days 00:00:00,15.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,15.0,1.2046798028559682,0.48614498370159126,0.16330247010751064,0.898899811322593,1.3119762659701226,1.4730918668572988,1.9574628786459396
1,1,1,3,15.0,903.1371518889298,1012.061813924039,-23.221543751961505,219.29381949341285,629.3974065270886,933.158446508646,3202.198902172788,15.0,73.17817334568346,9.386108191276284,59.17226165041982,63.06902172897681,76.63456370856908,83.39900882218973,83.39900882218973,15,543 days 22:24:00,246 days 07:58:11.992766736,168 days 00:00:00,419 days 00:00:00,485 days 00:00:00,684 days 00:00:00,1061 days 00:00:00,15.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,15.0,1.2046798028559682,0.48614498370159126,0.16330247010751064,0.898899811322593,1.3119762659701226,1.4730918668572988,1.9574628786459396
1,1,1,4,15.0,903.1371518889298,1012.061813924039,-23.221543751961505,219.29381949341285,629.3974065270886,933.158446508646,3202.198902172788,15.0,73.17817334568346,9.386108191276284,59.17226165041982,63.06902172897681,76.63456370856908,83.39900882218973,83.39900882218973,15,543 days 22:24:00,246 days 07:58:11.992766736,168 days 00:00:00,419 days 00:00:00,485 days 00:00:00,684 days 00:00:00,1061 days 00:00:00,15.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,15.0,1.2046798028559682,0.48614498370159126,0.16330247010751064,0.898899811322593,1.3119762659701226,1.4730918668572988,1.9574628786459396
1,1,1,5,15.0,903.1371518889298,1012.061813924039,-23.221543751961505,219.29381949341285,629.3974065270886,933.158446508646,3202.198902172788,15.0,73.17817334568346,9.386108191276284,59.17226165041982,63.06902172897681,76.63456370856908,83.39900882218973,83.39900882218973,15,543 days 22:24:00,246 days 07:58:11.992766736,168 days 00:00:00,419 days 00:00:00,485 days 00:00:00,684 days 00:00:00,1061 days 00:00:00,15.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,15.0,1.2046798028559682,0.48614498370159126,0.16330247010751064,0.898899811322593,1.3119762659701226,1.4730918668572988,1.9574628786459396
1,1,2,1,15.0,193.44734299701724,123.0204911742915,-21.154204930947188,76.03449747978523,226.59697458242505,283.0827067413029,346.2006943340321,15.0,40.406803895127034,10.769142795847172,21.54779418020493,34.69686912358438,34.69686912358439,47.947733453801796,58.41733227340873,15,503 days 20:48:00,257 days 22:48:58.595996404,197 days 00:00:00,309 days 12:00:00,526 days 00:00:00,568 days 00:00:00,1049 days 00:00:00,15.0,143.93333333333334,10.931387747913716,132.0,134.0,142.0,154.5,161.0,15.0,32.338943667597555,3.6877294870763784,23.91304347826087,30.537529742591392,33.08270676691729,35.20186335403727,37.086092715231786,15.0,0.9732753768180734,0.45901809532313387,-0.13567606217489078,0.7025584339853139,1.1847528896886446,1.2373876976542628,1.5002371457655153
1,1,2,2,15.0,414.31793207957196,247.92149444882608,9.563826766969498,197.24740876465,401.33139389787453,566.846323763024,910.2087895241569,15.0,49.4847854305879,8.419135716698857,27.416838431541855,42.784907527061975,53.38822118165333,55.389581262758696,56.50672638719687,15,440 days 12:48:00,166 days 03:59:35.446318020,236 days 00:00:00,307 days 00:00:00,403 days 00:00:00,561 days 00:00:00,774 days 00:00:00,15.0,117.86666666666666,8.391038303423707,107.0,112.0,115.0,126.0,131.0,15.0,39.97827324161156,2.6502054369021293,33.04347826086956,38.7897710377639,40.54054054054054,41.862980769230774,43.08943089430895,15.0,1.250020052004903,0.3718138110639385,0.26758317784281893,1.0423916603520953,1.3381898213155037,1.4180054048408448,1.732061997095983
1,1,2,3,15.0,903.1371518889298,1012.061813924039,-23.221543751961505,219.29381949341285,629.3974065270886,933.158446508646,3202.198902172788,15.0,73.17817334568346,9.386108191276284,59.17226165041982,63.06902172897681,76.63456370856908,83.39900882218973,83.39900882218973,15,543 days 22:24:00,246 days 07:58:11.992766736,168 days 00:00:00,419 days 00:00:00,485 days 00:00:00,684 days 00:00:00,1061 days 00:00:00,15.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,15.0,1.2046798028559682,0.48614498370159126,0.16330247010751064,0.898899811322593,1.3119762659701226,1.4730918668572988,1.9574628786459396
1,1,2,4,15.0,903.1371518889298,1012.061813924039,-23.221543751961505,219.29381949341285,629.3974065270886,933.158446508646,3202.198902172788,15.0,73.17817334568346,9.386108191276284,59.17226165041982,63.06902172897681,76.63456370856908,83.39900882218973,83.39900882218973,15,543 days 22:24:00,246 days 07:58:11.992766736,168 days 00:00:00,419 days 00:00:00,485 days 00:00:00,684 days 00:00:00,1061 days 00:00:00,15.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,15.0,1.2046798028559682,0.48614498370159126,0.16330247010751064,0.898899811322593,1.3119762659701226,1.4730918668572988,1.9574628786459396
1,1,2,5,15.0,903.1371518889298,1012.061813924039,-23.221543751961505,219.29381949341285,629.3974065270886,933.158446508646,3202.198902172788,15.0,73.17817334568346,9.386108191276284,59.17226165041982,63.06902172897681,76.63456370856908,83.39900882218973,83.39900882218973,15,543 days 22:24:00,246 days 07:58:11.992766736,168 days 00:00:00,419 days 00:00:00,485 days 00:00:00,684 days 00:00:00,1061 days 00:00:00,15.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,15.0,1.2046798028559682,0.48614498370159126,0.16330247010751064,0.898899811322593,1.3119762659701226,1.4730918668572988,1.9574628786459396
