Date,0,exit,max_comb,max_prob
2000-06-14,False,True,"(9, 1, 7, 3)",0.9441094719556828
2000-06-15,True,False,"(6, 1, 7, 3)",0.952588008391866
2000-06-16,False,True,"(7, 1, 7, 3)",0.9570880716992094
2000-06-19,True,False,"(8, 1, 7, 4)",0.9698601848605094
2000-06-20,True,False,"(2, 1, 6, 2)",0.8732203104134184
2000-06-21,True,False,"(2, 1, 6, 2)",0.18414188622456878
2000-06-22,False,True,"(2, 1, 6, 2)",0.45619562839628164
2000-06-23,True,False,"(3, 1, 4, 1)",0.7302668973340871
2000-06-26,False,True,"(3, 1, 4, 1)",0.3882839396382913
2000-06-27,True,False,"(2, 1, 7, 3)",0.8090321447301022
2000-06-28,False,True,"(2, 1, 4, 1)",0.5921985287188222
2000-06-29,True,False,"(7, 1, 4, 1)",0.9673065844113399
2000-06-30,False,True,"(2, 1, 7, 1)",0.9665858370499233
2000-07-03,True,False,"(3, 1, 7, 1)",0.975325252414447
2000-07-05,False,True,"(4, 1, 7, 1)",0.9666940062606896
2000-07-06,True,False,"(2, 1, 7, 1)",0.9485303094828399
2000-07-07,True,False,,
2000-07-10,True,False,"(2, 1, 4, 1)",0.4399291800395237
2000-07-11,False,True,"(2, 1, 4, 1)",0.38710174844182343
2000-07-12,False,True,"(2, 1, 4, 1)",0.13046660467745913
2000-07-13,False,True,"(4, 1, 4, 1)",0.37944187277422275
2000-07-14,False,True,"(2, 1, 4, 1)",0.2948896165736399
2000-07-17,False,True,"(3, 1, 4, 1)",0.1594704571954259
2000-07-18,False,True,"(4, 1, 4, 1)",0.2398828749296337
2000-07-19,True,False,"(9, 1, 3, 1)",0.5724110733779997
2000-07-20,False,True,"(6, 1, 7, 4)",0.2525653847975274
2000-07-21,False,True,"(7, 1, 4, 1)",0.36306715918136656
2000-07-24,False,True,,
2000-07-25,True,False,"(9, 1, 7, 4)",0.6896376952944424
2000-07-26,False,True,,
2000-07-27,False,True,,
2000-07-28,False,True,,
2000-07-31,False,True,"(2, 1, 7, 3)",0.457139554403231
2000-08-01,True,False,"(3, 1, 6, 1)",0.6040129625087092
2000-08-02,False,True,,
2000-08-03,False,True,,
2000-08-04,False,True,,
2000-08-07,False,True,,
2000-08-08,False,True,,
2000-08-09,False,True,,
2000-08-10,False,True,,
2000-08-11,True,False,"(2, 1, 7, 1)",0.9027774717585682
2000-08-14,False,True,,
2000-08-15,False,True,,
2000-08-16,True,False,"(3, 1, 4, 1)",0.9411080021147393
2000-08-17,True,False,"(2, 1, 4, 1)",0.9832134701198391
2000-08-18,False,True,"(2, 1, 4, 1)",0.9787822657598875
2000-08-21,True,False,"(2, 1, 3, 1)",0.9813280786321082
2000-08-22,True,False,"(3, 1, 6, 2)",0.9803906528958095
2000-08-23,True,False,"(2, 1, 7, 3)",0.9830350628529286
2000-08-24,True,False,"(2, 1, 6, 2)",0.9307073086206358
2000-08-25,True,False,"(2, 1, 6, 2)",0.9042179296552073
2000-08-28,True,False,"(2, 1, 6, 2)",0.8748255778569225
2000-08-29,True,False,"(2, 1, 4, 1)",0.3875312700158163
2000-08-30,True,False,"(2, 1, 7, 3)",0.5206808000418847
2000-08-31,True,False,"(2, 1, 7, 4)",0.49344883126701067
2000-09-01,True,False,"(2, 1, 7, 4)",0.21823030739583635
2000-09-05,False,True,"(2, 1, 7, 4)",0.4733302709289532
2000-09-06,True,False,"(6, 1, 7, 3)",0.7803361593118342
2000-09-07,False,True,"(3, 1, 4, 1)",0.5200409030355085
