custom_window_entry,custom_hh_hl_counts,custom_window_exit,custom_lh_counts,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
3,1,6,4,2000-01-03,2024-01-24,6053 days,100.0,2853.872980181345,2753.872980181345,19360.859523228133,100.0,674.3050888425155,48.120779042398006,877 days,363,362,1,29.17623242166337,46.68508287292818,30.00133269389534,-16.630865535286745,5.502080384541235,-2.773329729921661,11 days 01:42:14.911242603,3 days 23:30:09.326424870,1.6229755996220572,7.526786596021223,0.879994276664485,0.46539157314253543,1.2148290331880878,1.2898160869269897
1,1,4,4,2000-01-03,2024-01-24,6053 days,100.0,8169.014605615062,8069.014605615061,19360.859523228133,100.0,1360.8635492235087,53.80620268713795,947 days,340,339,1,83.51495334394349,49.557522123893804,36.258402103153074,-18.71532305743065,7.006700197632377,-3.7574844539619434,14 days 08:34:17.142857143,6 days 04:04:12.631578947,1.7401734758392615,23.556046171891182,0.9850970648447471,0.565144283423393,1.2106901961157093,1.460722202808513
3,2,2,2,2000-01-03,2024-01-24,6053 days,100.0,509.5230359247342,409.5230359247342,19360.859523228133,100.0,182.39275380793134,32.24127392258646,852 days,377,376,1,-1.9242570458809496,45.21276595744681,24.592625478955632,-13.498053858995243,4.006415595615344,-2.336661816945682,7 days 09:52:56.470588235,2 days 21:54:10.485436893,1.3947664107052904,1.0942747153473826,0.5542587352574732,0.3199936742839554,1.1498280004342292,0.8071611424254506
2,2,3,3,2000-01-03,2024-01-24,6053 days,100.0,1163.2793293928694,1063.2793293928694,19360.859523228133,100.0,453.43627761820983,37.318277160310075,1125 days,350,349,1,-4.393223246225261,46.41833810888252,25.293262298587223,-11.39649757948157,4.411598977672997,-2.2924898181918363,8 days 17:19:59.999999999,3 days 19:38:10.909090909,1.4191823930538527,3.059233675183653,0.7453482069066671,0.4273380824593185,1.1991730265122247,1.1533939078903916
1,1,3,3,2000-01-03,2024-01-24,6053 days,100.0,1948.4583638392646,1848.4583638392646,19360.859523228133,100.0,859.8487998365937,56.47868558662113,1040 days,459,458,1,19.91983332197765,46.724890829694324,31.966007006420043,-16.352950664063282,5.292079730572355,-3.101229471941789,10 days 01:47:39.813084112,4 days 04:31:28.524590163,1.291639339645924,3.992442206369626,0.7367656477919818,0.3472192042147507,1.1579786726758763,1.080641211288744
