window_entry,hh_hl_counts,window_exit,lh_counts,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,Total Trades per year
2,2,2,2,2000-01-03,2024-04-16,6110,100.0,266.56986748680634,166.56986748680634,16847.45748621135,100.0,183.74530083654858,38.635026259711914,1392,400,400,0,0.0,44.0,24.592625478955625,-8.226227605748813,3.029916445007317,-1.8389129784736142,5 days 12:16:21.818181818,2 days 09:25:42.857142857,1.180652119632538,0.4164246687170161,0.3948168647496828,0.15612905121797246,1.1151626664398968,0.5976647216159676,23.567921440261866
2,2,3,2,2000-01-03,2024-04-16,6110,100.0,312.5190305594986,212.51903055949862,16847.45748621135,100.0,184.33862010547534,35.090347649927615,1332,367,367,0,0.0,44.95912806539509,24.59262547895561,-8.226227605748807,3.11234064003181,-1.868801818303888,5 days 06:58:54.545454545,2 days 07:21:58.811881188,1.230397823393923,0.5790709279550361,0.4657939641392338,0.20074365181376327,1.142151198766527,0.7152128223835551,21.623567921440262
2,1,10,2,2000-01-03,2024-04-16,6110,100.0,235.01172710113923,135.01172710113923,16847.45748621135,100.0,132.54989995592794,50.78117507852746,2232,401,401,0,0.0,45.38653366583541,29.679379804018353,-12.93818206271515,3.0850032331612205,-2.0538423523643616,5 days 19:38:54.065934065,2 days 10:57:32.054794520,1.197294119521492,0.3366875987559579,0.3502490210427669,0.10312751385536088,1.0998786142340506,0.5016058805641525,23.626841243862522
2,1,10,1,2000-01-03,2024-04-16,6110,100.0,237.64340716205794,137.64340716205794,16847.45748621135,100.0,133.96026785007192,50.78117507852746,2230,402,402,0,0.0,45.27363184079602,33.26462656194107,-12.938182062715162,3.1122154872067647,-2.0574732560757036,5 days 19:07:15.164835164,2 days 10:54:32.727272727,1.1988213526123572,0.3423965352289986,0.353491160520936,0.10450657893031376,1.100900209317326,0.506320076447972,23.685761047463174
2,1,9,1,2000-01-03,2024-04-16,6110,100.0,225.77752369025546,125.77752369025545,16847.45748621135,100.0,134.6947938298333,51.212867236949144,2237,422,422,0,0.0,44.07582938388626,33.26462656194107,-12.938182062715153,3.1419102510985195,-2.0112438940342208,5 days 20:07:44.516129032,2 days 09:27:27.457627118,1.1799346475196926,0.298051004005343,0.3366735689656423,0.09734341093630014,1.094068336100613,0.48112265913159397,24.864157119476268
2,1,5,3,2000-01-03,2024-04-16,6110,100.0,379.1342817685203,279.1342817685203,16847.45748621135,100.0,228.7687131311398,66.40638957453827,1888,468,467,1,-11.352300414150193,40.899357601713064,27.456921228584985,-15.941859144251186,4.319603978235024,-2.315580585098579,7 days 21:06:35.811518324,2 days 18:15:39.130434782,1.2068394002268628,0.6220269425753089,0.4398919185075341,0.12479106353192863,1.1093994416717268,0.6331188529428674,27.574468085106382
3,1,2,2,2000-01-03,2024-04-16,6110,100.0,919.282960999036,819.282960999036,16847.45748621135,100.0,533.915436623747,53.586258907036864,1181,514,513,1,-27.525805079378642,42.49512670565302,27.00063796861333,-16.630865535286738,5.296938834944178,-2.880581241066483,9 days 18:29:43.486238532,3 days 07:14:26.440677966,1.2155923607190076,1.6506993490807282,0.5841362001117082,0.2644464985576444,1.126141307294099,0.8362169166592147,30.284779050736496
4,1,2,2,2000-01-03,2024-04-16,6110,100.0,1598.0920308503055,1498.0920308503055,16847.45748621135,100.0,854.1582943672541,42.22904881720807,910,449,448,1,-47.85117488992614,40.625,42.64796615368754,-16.630865535286727,6.473745573648164,-3.0328246037147037,12 days 10:56:42.197802197,4 days 00:05:24.812030075,1.2184641137645622,3.4507660842415913,0.6805970122089395,0.42636859347988254,1.1439858976812893,1.0006510615537858,26.454991816693944
2,1,3,2,2000-01-03,2024-04-16,6110,100.0,640.8029494919342,540.8029494919342,16847.45748621135,100.0,363.5006360056018,63.7972883202656,1690,506,505,1,-19.18736431581101,41.98019801980198,27.456921228584996,-16.63086553528673,4.48899373501969,-2.4060773229512016,7 days 11:53:12.452830188,2 days 21:17:48.941979522,1.2469550478580582,1.1088917105103846,0.551613756974149,0.18395401807798442,1.1316050889664366,0.7899497429813421,29.81342062193126
3,1,5,1,2000-01-03,2024-04-16,6110,100.0,845.7991245660512,745.7991245660512,16847.45748621135,100.0,434.4414320010599,52.54701546189352,1045,420,419,1,-25.32550131660571,47.49403341288782,29.215146597981946,-16.63086553528673,4.484381865572798,-2.827143804094538,8 days 09:53:22.010050251,3 days 02:04:21.818181818,1.2553659172131593,1.8403929018679186,0.6193003377610194,0.2588899280119257,1.1551375128915513,0.8830676102991021,24.74631751227496
3,1,3,3,2000-01-03,2024-04-16,6110,100.0,4456.568365476526,4356.568365476526,16847.45748621135,100.0,1800.0951362533665,47.47042872299255,720,433,432,1,-133.4416467566407,46.2962962962963,35.64040231965211,-20.35466775087614,6.255609855192635,-3.322717098082637,12 days 06:00:00,4 days 12:37:14.482758620,1.334751580273639,10.393541694984197,0.8569349172455002,0.5363517534578343,1.1813229995560668,1.2591947873080944,25.51227495908347
4,1,3,3,2000-01-03,2024-04-16,6110,100.0,4404.509842046956,4304.509842046956,16847.45748621135,100.0,1435.8404548910914,59.98198354250379,910,373,372,1,-131.88287450757707,45.96774193548387,42.647966153687555,-20.35466775087614,6.992901062258195,-3.5533162479567144,14 days 18:56:50.526315789,4 days 23:31:20.597014925,1.3730151042397132,11.925786872458431,0.8594808906566858,0.42300725540128326,1.18219884340386,1.279292574732475,21.97708674304419
4,1,4,4,2000-01-03,2024-04-16,6110,100.0,7420.144172059311,7320.144172059311,16847.45748621135,100.0,1824.680869582831,47.113935906270235,1025,347,346,1,-222.1790795720044,45.95375722543353,53.38314585286897,-18.441796910550984,7.886370718328534,-3.775746984963869,16 days 17:21:30.566037735,5 days 17:58:04.491978609,1.4462304806301447,21.798622114541367,0.9302424469539753,0.6227588711884057,1.191526984048807,1.3859727292854236,20.44517184942717
3,1,5,4,2000-01-03,2024-04-16,6110,100.0,7566.02098805265,7466.020988052649,16847.45748621135,100.0,1798.1648778438512,35.16284167070234,710,354,353,1,-226.54702390795592,49.57507082152974,30.00133269389535,-16.630865535286723,5.891477552435819,-2.962726800906095,11 days 23:10:37.714285714,4 days 21:34:22.921348314,1.6087543838578895,21.79197737099323,1.0330295376320604,0.8387017301989117,1.241148901985833,1.5588886799496053,20.857610474631752
3,1,7,4,2000-01-03,2024-04-16,6110,100.0,1043.489918537518,943.489918537518,16847.45748621135,100.0,333.23982172552536,57.21659672506786,1107,363,362,1,-31.24489555288369,44.47513812154696,30.00133269389535,-16.630865535286727,5.122423797071267,-2.6563743870904104,10 days 08:29:48.819875776,3 days 19:56:25.074626865,1.4532579137383956,2.692637607984535,0.6693133967201931,0.2628316972799284,1.1675929031849483,0.9653770607042345,21.387888707037643
3,1,8,4,2000-01-03,2024-04-16,6110,100.0,958.7299353538685,858.7299353538687,16847.45748621135,100.0,291.2722281730492,59.0443391411141,1241,356,355,1,-28.706953619195474,45.91549295774648,30.001332693895332,-16.63086553528673,4.855796410027947,-2.6740619037668982,9 days 14:16:55.950920245,3 days 15:15:00,1.4917701335274864,2.4998222224593345,0.669724941391664,0.24486036267258982,1.173733632677983,0.9649043290763182,20.97545008183306
2,2,3,3,2000-01-03,2024-04-16,6110,100.0,1089.8957305235078,989.895730523508,16847.45748621135,100.0,463.5859944901255,37.318277160310075,1125,354,354,0,0.0,46.04519774011299,25.293262298587223,-11.39649757948157,4.39311512523309,-2.2872009125793276,8 days 16:29:26.871165644,3 days 19:13:30.471204188,1.3748909886926812,2.7963156229477635,0.7244356791243299,0.4109981023416332,1.1933285137286254,1.119183071944998,20.857610474631752
