custom_window_entry,custom_hh_hl_counts,custom_window_exit,custom_lh_counts,Total Return [%]_count,Total Return [%]_mean,Total Return [%]_std,Total Return [%]_min,Total Return [%]_25%,Total Return [%]_50%,Total Return [%]_75%,Total Return [%]_max,Max Drawdown [%]_count,Max Drawdown [%]_mean,Max Drawdown [%]_std,Max Drawdown [%]_min,Max Drawdown [%]_25%,Max Drawdown [%]_50%,Max Drawdown [%]_75%,Max Drawdown [%]_max,Max Drawdown Duration_count,Max Drawdown Duration_mean,Max Drawdown Duration_std,Max Drawdown Duration_min,Max Drawdown Duration_25%,Max Drawdown Duration_50%,Max Drawdown Duration_75%,Max Drawdown Duration_max,Total Trades_count,Total Trades_mean,Total Trades_std,Total Trades_min,Total Trades_25%,Total Trades_50%,Total Trades_75%,Total Trades_max,Total Trades per year_count,Total Trades per year_mean,Total Trades per year_std,Total Trades per year_min,Total Trades per year_25%,Total Trades per year_50%,Total Trades per year_75%,Total Trades per year_max,Win Rate [%]_count,Win Rate [%]_mean,Win Rate [%]_std,Win Rate [%]_min,Win Rate [%]_25%,Win Rate [%]_50%,Win Rate [%]_75%,Win Rate [%]_max,Sharpe Ratio_count,Sharpe Ratio_mean,Sharpe Ratio_std,Sharpe Ratio_min,Sharpe Ratio_25%,Sharpe Ratio_50%,Sharpe Ratio_75%,Sharpe Ratio_max,Total Return [%]_std_perc,Max Drawdown [%]_std_perc,Total Trades_std_perc,Sharpe Ratio_std_perc,cluster
2,1,5,4,15.0,131.3209489075073,80.87444510464115,12.641316935595867,85.26970915519605,118.45982899204502,173.19758245919803,335.85091826803273,15.0,29.461923914580506,9.41290721262879,21.790631105147984,22.41545272689345,23.99725140987135,36.839430198319484,53.724684534741606,15.0,398.2,196.99898476895763,143.0,246.0,364.0,465.5,910.0,15.0,68.06666666666666,4.366539438350084,62.0,64.5,68.0,71.0,76.0,15.0,22.688888888888883,1.4555131461166944,20.666666666666668,21.5,22.666666666666668,23.666666666666664,25.333333333333332,15.0,45.90527919547462,5.211931032101254,35.61643835616438,42.63500482160077,46.05263157894737,49.63782696177062,54.54545454545454,15.0,1.1262933317122326,0.3784619526223783,0.29885423555970636,0.9354030293240553,1.2746936106041364,1.3649268454130215,1.6230131599449047,0.6158533408222864,0.31949397601866747,0.06415092220886509,0.3360243215211321,2
2,1,5,5,15.0,198.25004236252354,202.51847911718684,8.718865377066692,57.23350889842925,151.15026536069738,233.79223972849053,749.5905952125189,15.0,33.19084563060663,7.281881297798378,23.590618474776928,27.962234523381376,32.82158889206294,36.29637202202775,50.0817102949036,15.0,381.1333333333333,197.24381817822277,143.0,209.0,313.0,536.0,744.0,15.0,53.8,4.6012420683363935,44.0,51.0,56.0,57.5,59.0,15.0,17.93333333333333,1.5337473561121315,14.666666666666666,17.0,18.666666666666668,19.166666666666664,19.666666666666668,15.0,44.52445783201431,8.445074073315865,33.33333333333333,37.93103448275862,43.13725490196079,48.509803921568626,60.46511627906976,15.0,1.1108473135133712,0.5154274471377579,0.23804352682215618,0.7001715163157183,1.2044382590937897,1.4212045503162156,2.013910577704525,1.0215305717153793,0.21939426849322147,0.0855249455081114,0.46399486308120214,2
2,2,3,3,15.0,63.42005763566934,52.942353411798415,9.101843420623538,19.64384276595733,55.71460273454284,85.67079771232085,206.69624555935587,15.0,26.767591247308694,7.913565817497715,13.219276146540293,21.307378170742346,25.94817264561514,34.3181451631924,37.318277160310096,15.0,448.0,189.81494747704744,113.0,334.0,446.0,483.5,853.0,15.0,63.333333333333336,4.6393759843118465,50.0,62.0,64.0,66.5,69.0,15.0,21.111111111111107,1.546458661437282,16.666666666666668,20.666666666666668,21.333333333333332,22.166666666666664,23.0,15.0,46.670394960770864,4.452180445509411,38.983050847457626,43.649193548387096,46.774193548387096,49.20554854981084,54.0,15.0,0.7679297027214963,0.40262873835917007,0.24779647702402954,0.43446173657589543,0.7284922041299442,0.9280127066960773,1.7342637465729938,0.8347887937273342,0.2956398184798706,0.0732533050154502,0.5243041608265421,6
2,2,4,4,15.0,95.44195311424681,55.930063366646756,3.119597058887905,62.059835941040326,93.03345454544117,125.04008613832085,196.12836291574763,15.0,30.20381972450758,7.724100670003153,15.480364491943515,24.83826947186727,29.9722962242458,37.50636025949959,39.87831628981024,15.0,383.4,125.27900291520751,188.0,304.0,370.0,474.5,619.0,15.0,53.0,2.104417123236605,48.0,52.0,54.0,54.0,57.0,15.0,17.666666666666668,0.7014723744122018,16.0,17.333333333333332,18.0,18.0,19.0,15.0,50.477615017419716,5.369303346201653,40.0,49.03846153846154,50.0,53.23464912280702,59.25925925925925,15.0,0.9889705593116087,0.4407237213127106,0.1550728910417216,0.6597805259512912,0.9299688735796123,1.3862662551750558,1.7203972483154109,0.5860113036422969,0.2557325775499768,0.03970598345729444,0.44563886878441006,2
2,2,5,4,15.0,87.13449125869664,67.21217442601076,20.68520591493501,36.19560720464446,77.36401077536729,102.0006251922236,260.1689494244243,15.0,23.579409917200202,5.688186051743567,11.307436407166009,20.743194876333845,23.142175396985838,28.361213886693278,29.256269909059966,15.0,449.3333333333333,146.55017018397615,96.0,397.0,464.0,564.5,684.0,15.0,51.666666666666664,3.9400265892262096,43.0,50.0,53.0,53.5,57.0,15.0,17.222222222222225,1.3133421964087366,14.333333333333334,16.666666666666664,17.666666666666668,17.833333333333336,19.0,15.0,49.957269446242464,6.672305734848459,40.38461538461539,44.43681318681318,49.056603773584904,54.55147302217809,60.37735849056604,15.0,1.0163037922518101,0.47350228485183504,0.3663087978316274,0.6273226523237707,1.0670602999545704,1.3193753332419789,1.919207898508994,0.7713612997000485,0.2412353011257619,0.07625857914631373,0.46590624620488985,0
2,2,5,5,15.0,130.7928582436719,65.78944021150535,15.387518519876094,58.17848248593393,148.47368947657472,179.31394684913255,218.81412911022386,15.0,24.530191175704633,4.351801205486917,16.664707456964166,20.37599107098925,25.827272191736327,27.87335334046119,30.314576994841087,15.0,338.53333333333336,112.83608001158562,182.0,265.0,327.0,421.0,536.0,15.0,44.666666666666664,2.2572634084745395,42.0,42.0,45.0,46.5,48.0,15.0,14.88888888888889,0.7524211361581797,14.0,14.0,15.0,15.5,16.0,15.0,50.51426295864258,5.367555162887897,40.909090909090914,46.980255516840884,51.21951219512195,53.97669706180345,60.46511627906976,15.0,1.163486053154889,0.3993430206096301,0.3537269833977162,0.8928112312052712,1.2190338623720385,1.3982826676930036,1.7589446725463738,0.5030048360051679,0.1774059229427066,0.05053574795092253,0.3432297443762032,0
3,1,3,1,15.0,92.46900817037263,89.23001033904985,1.9437849115284536,14.309797815002483,84.20728221044298,131.26100220049153,287.9307899134375,15.0,28.551050883860572,8.819899912268001,14.596652646598246,25.006423697120145,26.505823291601892,35.55567848403128,48.45518032034477,15.0,448.6,182.78238427157032,216.0,339.5,393.0,503.5,853.0,15.0,74.6,6.242710034226207,65.0,70.0,75.0,80.5,84.0,15.0,24.866666666666664,2.080903344742069,21.666666666666668,23.333333333333336,25.0,26.833333333333336,28.0,15.0,48.66537612984644,4.986238246591251,41.17647058823529,45.102739726027394,47.368421052631575,51.388888888888886,57.333333333333336,15.0,0.8880932154797699,0.5754817101289172,0.14782314214769857,0.3297770973312489,1.033821571138216,1.359112417942279,1.6751340579790293,0.9649720712332615,0.308916822296504,0.08368244013708054,0.6479969670954279,6
3,1,3,2,15.0,95.69506905991265,80.97168706861406,10.459274388838693,28.532063739091853,91.33906476301615,130.05446924289868,297.522401529731,15.0,27.378856446059647,9.483399587819557,14.596652646598246,21.777108588256937,22.60590462913968,35.636522943769705,48.28897235337634,15.0,391.53333333333336,139.19044849550906,217.0,327.5,360.0,433.5,782.0,15.0,71.8,6.281492088440681,62.0,66.0,71.0,77.0,80.0,15.0,23.933333333333334,2.093830696146893,20.666666666666668,22.0,23.666666666666668,25.666666666666668,26.666666666666668,15.0,48.217417534266495,4.6853229449446525,39.682539682539684,46.64835164835165,47.5,49.34210526315789,57.74647887323944,15.0,0.9446975110841632,0.4632587744080113,0.2607274810014662,0.5187710728660256,0.9901441680177627,1.3144883586240708,1.6698259834473643,0.8461427309062226,0.34637675998277145,0.08748596223454987,0.4903778923651038,6
3,1,3,3,15.0,152.30143914192178,147.04335883594413,11.968910384723586,45.46072092564887,110.27781290006958,210.27819862163784,541.1001851256708,15.0,34.191553842300564,10.409773287487972,14.875854688140874,29.292628229696575,31.345919843513176,43.375294011779054,47.47042872299255,15.0,384.73333333333335,154.77978211762982,247.0,273.0,327.0,456.5,720.0,15.0,75.53333333333333,6.045856511064495,67.0,71.5,76.0,78.5,86.0,15.0,25.17777777777778,2.0152855036881654,22.333333333333332,23.833333333333336,25.333333333333332,26.166666666666664,28.666666666666668,15.0,47.739893481158724,3.8110674115781897,38.82352941176471,45.656092285508294,48.717948717948715,50.0,53.52112676056338,15.0,1.0194664117906005,0.47079319347084575,0.28292114058787027,0.6261331801651773,0.9822208801332423,1.3654140337870164,1.858814983660011,0.9654758330873163,0.3044545250999788,0.08004223094966234,0.46180353567896376,6
3,1,4,1,15.0,89.90899381149771,88.5177130127522,1.2094345643681237,11.727249675082426,76.45895541803813,127.15515995802343,283.6956418307881,15.0,28.55652990320597,8.816130743452671,14.59665264659828,25.006423697120145,26.505823291601928,35.555678484031276,48.4551803203448,15.0,462.46666666666664,185.4453584007455,216.0,344.0,417.0,508.0,853.0,15.0,76.0,5.96417878432803,68.0,71.5,76.0,81.0,86.0,15.0,25.333333333333336,1.98805959477601,22.666666666666668,23.833333333333332,25.333333333333332,27.0,28.666666666666668,15.0,49.03654175843479,5.091561373622367,41.42857142857143,44.929396662387674,47.368421052631575,52.054794520547944,57.89473684210527,15.0,0.8654467804606246,0.5710478639570085,0.13755282046010753,0.3028124504446969,1.0208935076925423,1.3474767662368938,1.6626647787059519,0.984525677134565,0.30872556201105184,0.07847603663589513,0.6598301326548057,6
