"
ma_window","
ma_window","
split_idx","Start
","End
","Period
","Start Value
","End Value
","Total Return [%]
","Benchmark Return [%]
","Max Gross Exposure [%]
","Total Fees Paid
","Max Drawdown [%]
","Max Drawdown Duration
","Total Trades
","Total Closed Trades
","Total Open Trades
","Open Trade PnL
","Win Rate [%]
","Best Trade [%]
","Worst Trade [%]
","Avg Winning Trade [%]
","Avg Losing Trade [%]
","Avg Winning Trade Duration
","Avg Losing Trade Duration
","Profit Factor
","Expectancy
","Sharpe Ratio
","Calmar Ratio
","Omega Ratio
","Sortino Ratio
"
"","",2,0,251,252 days,100.0,60.048534,-39.951466,-37.732028,100.0,0.0,39.951466,172 days,4,4,0,0.000000,0.000000,-8.788177,-15.607763,NaN,-11.936985,NaT,14 days 12:00:00,0.000000,-9.987866,-3.199306,-1.307268,0.346512,-3.368067
"","",3,0,251,252 days,100.0,71.727300,-28.272700,-31.156419,100.0,0.0,37.738928,175 days,4,3,1,3.435343,0.000000,-8.788177,-15.607763,NaN,-11.892362,NaT,18 days 00:00:00,0.000000,-10.569348,-1.903000,-1.012281,0.613363,-2.251802
"","",4,0,251,252 days,100.0,90.901492,-9.098508,-6.756252,100.0,0.0,34.016192,163 days,3,2,1,16.029667,0.000000,-11.281146,-15.607763,NaN,-13.444454,NaT,18 days 12:00:00,0.000000,-12.564087,-0.319428,-0.379375,0.925443,-0.447266
"","",5,0,251,252 days,100.0,129.080131,29.080131,29.639547,100.0,0.0,24.718308,90 days,2,1,1,44.687894,0.000000,-15.607763,-15.607763,NaN,-15.607763,NaT,13 days 00:00:00,0.000000,-15.607763,1.280962,1.809746,1.374198,2.168372
"","",6,0,251,252 days,100.0,134.986562,34.986562,38.860759,100.0,0.0,24.718308,90 days,2,1,1,50.594325,0.000000,-15.607763,-15.607763,NaN,-15.607763,NaT,13 days 00:00:00,0.000000,-15.607763,1.418202,2.201764,1.354986,2.382561
"","",7,0,251,252 days,100.0,143.863322,43.863322,51.770207,100.0,0.0,15.142245,38 days,2,1,1,4.981183,100.000000,38.882139,38.882139,38.882139,NaN,129 days,NaT,inf,38.882139,1.706868,4.579689,1.428584,3.003986
"","",8,0,251,252 days,100.0,145.889566,45.889566,49.448649,100.0,0.0,15.142245,73 days,2,1,1,7.007427,100.000000,38.882139,38.882139,38.882139,NaN,129 days,NaT,inf,38.882139,1.668850,4.808557,1.361673,2.762764
"","",9,0,251,252 days,100.0,126.291793,26.291793,169.717624,100.0,0.0,7.756384,16 days,1,0,1,26.291793,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,1.943531,5.186366,1.641762,2.824053
"","",10,0,251,252 days,100.0,145.653495,45.653495,131.497585,100.0,0.0,7.756384,16 days,1,0,1,45.653495,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,2.597766,9.335210,1.751967,4.199715
"","",11,0,251,252 days,100.0,143.404255,43.404255,90.433905,100.0,0.0,9.023246,32 days,1,0,1,43.404255,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,2.254259,7.598665,1.530021,3.554829
"","",12,0,251,252 days,100.0,143.647416,43.647416,66.931638,100.0,0.0,9.023246,45 days,1,1,0,0.000000,100.000000,43.647416,43.647416,43.647416,NaN,150 days,NaT,inf,43.647416,2.235262,7.644563,1.515485,3.512307
"","",13,0,251,252 days,100.0,101.913512,1.913512,54.274231,100.0,0.0,7.859092,27 days,2,1,1,4.554452,0.000000,-2.640940,-2.640940,NaN,-2.640940,NaT,17 days 00:00:00,0.000000,-2.640940,0.334458,0.354163,1.147495,0.474915
"","",14,0,251,252 days,100.0,106.570081,6.570081,61.024533,100.0,0.0,7.859092,36 days,2,1,1,9.211021,0.000000,-2.640940,-2.640940,NaN,-2.640940,NaT,17 days 00:00:00,0.000000,-2.640940,0.740120,1.228477,1.212437,1.095234
"","",15,0,251,252 days,100.0,110.799766,10.799766,56.037917,100.0,0.0,9.020941,36 days,3,2,1,2.575378,50.000000,11.160059,-2.640940,11.160059,-2.640940,68 days,17 days 00:00:00,4.114190,4.112194,0.893395,1.775209,1.219649,1.414641
"","",16,0,251,252 days,100.0,89.367763,-10.632237,19.323915,100.0,0.0,21.680304,57 days,4,4,0,0.000000,25.000000,11.160059,-14.986807,11.160059,-6.831387,68 days,16 days 00:00:00,0.505421,-2.658059,-0.605174,-0.693038,0.883873,-0.805291
"","",17,0,251,252 days,100.0,89.367763,-10.632237,-1.804827,100.0,0.0,21.680304,92 days,4,4,0,0.000000,25.000000,11.160059,-14.986807,11.160059,-6.831387,68 days,16 days 00:00:00,0.505421,-2.658059,-0.605174,-0.693038,0.883873,-0.805291
