custom_window_entry,custom_hh_hl_counts,custom_window_exit,custom_lh_counts,Total Return [%]_count,Total Return [%]_mean,Total Return [%]_std,Total Return [%]_min,Total Return [%]_25%,Total Return [%]_50%,Total Return [%]_75%,Total Return [%]_max,Max Drawdown [%]_count,Max Drawdown [%]_mean,Max Drawdown [%]_std,Max Drawdown [%]_min,Max Drawdown [%]_25%,Max Drawdown [%]_50%,Max Drawdown [%]_75%,Max Drawdown [%]_max,Max Drawdown Duration_count,Max Drawdown Duration_mean,Max Drawdown Duration_std,Max Drawdown Duration_min,Max Drawdown Duration_25%,Max Drawdown Duration_50%,Max Drawdown Duration_75%,Max Drawdown Duration_max,Total Trades_count,Total Trades_mean,Total Trades_std,Total Trades_min,Total Trades_25%,Total Trades_50%,Total Trades_75%,Total Trades_max,Total Trades per year_count,Total Trades per year_mean,Total Trades per year_std,Total Trades per year_min,Total Trades per year_25%,Total Trades per year_50%,Total Trades per year_75%,Total Trades per year_max,Win Rate [%]_count,Win Rate [%]_mean,Win Rate [%]_std,Win Rate [%]_min,Win Rate [%]_25%,Win Rate [%]_50%,Win Rate [%]_75%,Win Rate [%]_max,Sharpe Ratio_count,Sharpe Ratio_mean,Sharpe Ratio_std,Sharpe Ratio_min,Sharpe Ratio_25%,Sharpe Ratio_50%,Sharpe Ratio_75%,Sharpe Ratio_max,Total Return [%]_std_perc,Max Drawdown [%]_std_perc,Total Trades_std_perc,Sharpe Ratio_std_perc
1,1,1,1,15.0,63.96373446725442,113.43677910909473,-46.094966249992396,-37.96874197374716,17.090693827983173,140.5492628005144,299.4719923327432,15.0,44.07596730346778,10.128053001258367,27.054405809941713,36.032692440730486,43.73107118979227,53.618122541994936,56.79560704137667,15.0,442.8,251.060948775392,158.0,212.0,366.0,714.5,787.0,15.0,82.0,4.292851200376205,70.0,80.5,84.0,84.5,86.0,15.0,37.27272727272727,1.951296000171002,31.818181818181817,36.59090909090909,38.18181818181818,38.40909090909091,39.09090909090909,15.0,32.056522399236115,5.630483598374081,25.925925925925924,27.614526823387585,28.749999999999996,36.09943977591037,42.857142857142854,15.0,0.3575737514425227,0.7527070965386684,-0.7752728487980552,-0.4433278247070638,0.37998537033987356,1.0074242551360988,1.4227068649323418,1.7734545997649267,0.22978628991907613,0.05235184390702689,2.1050401308879643
1,1,1,2,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,15.0,inf,,inf,,,,inf,,,,
1,1,1,3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,15.0,inf,,inf,,,,inf,,,,
1,1,1,4,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,15.0,inf,,inf,,,,inf,,,,
1,1,1,5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,15.0,inf,,inf,,,,inf,,,,
1,1,2,1,15.0,63.96373446725442,113.43677910909473,-46.094966249992396,-37.96874197374716,17.090693827983173,140.5492628005144,299.4719923327432,15.0,44.07596730346778,10.128053001258367,27.054405809941713,36.032692440730486,43.73107118979227,53.618122541994936,56.79560704137667,15.0,442.8,251.060948775392,158.0,212.0,366.0,714.5,787.0,15.0,82.0,4.292851200376205,70.0,80.5,84.0,84.5,86.0,15.0,37.27272727272727,1.951296000171002,31.818181818181817,36.59090909090909,38.18181818181818,38.40909090909091,39.09090909090909,15.0,32.056522399236115,5.630483598374081,25.925925925925924,27.614526823387585,28.749999999999996,36.09943977591037,42.857142857142854,15.0,0.3575737514425227,0.7527070965386684,-0.7752728487980552,-0.4433278247070638,0.37998537033987356,1.0074242551360988,1.4227068649323418,1.7734545997649267,0.22978628991907613,0.05235184390702689,2.1050401308879643
1,1,2,2,15.0,105.97158147940787,143.13575353436826,-54.487429942210156,-22.029391735300187,107.40090993550393,208.1892732352996,418.3244765823867,15.0,52.272444871405966,4.94630162598035,48.488447525818586,49.077997287716514,49.66754704961443,54.50869356860646,62.12959520723507,15.0,403.2,230.75286718540622,177.0,201.5,283.0,603.5,765.0,15.0,71.13333333333334,3.3988793671416104,61.0,71.5,72.0,73.0,74.0,15.0,32.333333333333336,1.5449451668825496,27.727272727272727,32.5,32.72727272727273,33.18181818181818,33.63636363636363,15.0,36.01910698669333,5.779051235132147,26.38888888888889,31.293965198074787,34.72222222222222,41.25586854460094,43.66197183098591,15.0,0.5235178005764032,0.7012653917579263,-0.6684347083089597,0.04182477601604861,0.8359908983829827,1.1036252664410902,1.4230764360014472,1.3506994189964225,0.09462541188093676,0.04778180928502732,1.3395254010194488
1,1,2,3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,15.0,inf,,inf,,,,inf,,,,
1,1,2,4,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,15.0,inf,,inf,,,,inf,,,,
1,1,2,5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,15.0,inf,,inf,,,,inf,,,,
1,1,3,1,15.0,64.81353675770757,91.47943209920153,-28.973702382142992,-10.790883769154625,26.93064443098965,109.13578825090559,232.38358882492525,15.0,37.70869909077976,7.393745951097707,19.864631670358875,38.22416873822554,38.22416873822559,42.95091649256247,42.9509164925626,15.0,376.1333333333333,208.80197955638894,168.0,251.0,258.0,506.5,770.0,15.0,73.4,2.8982753492378883,65.0,72.5,74.0,75.0,77.0,15.0,33.36363636363637,1.3173978860172217,29.545454545454547,32.95454545454545,33.63636363636363,34.09090909090909,35.0,15.0,32.811085084069646,5.241442833676544,26.027397260273972,28.572750833024806,31.506849315068493,35.532467532467535,43.07692307692308,15.0,0.5026255082202239,0.5457717828905985,-0.39695554031746483,0.05060444105857898,0.46133624024025116,0.936733879018052,1.3034136964403586,1.4114247837018843,0.19607533883091632,0.0394860401803527,1.0858417926761292
1,1,3,2,15.0,56.83410787897653,74.85591736055889,-37.794354639786306,-18.815243355012676,68.23170426741075,125.70624953182353,171.76432372011075,15.0,44.52433827652602,4.922925872895356,30.658156663999865,42.264487306777134,45.622207872773174,48.67538038844404,48.67538038844413,15.0,466.0,228.2004131710295,154.0,291.0,364.0,712.0,785.0,15.0,67.2,2.4842360136324753,60.0,67.0,68.0,68.5,70.0,15.0,30.545454545454547,1.129198188014761,27.272727272727273,30.454545454545453,30.90909090909091,31.136363636363637,31.818181818181817,15.0,34.66907917990038,4.008346331472198,28.78787878787879,31.343283582089555,35.59322033898305,37.95822676896846,41.17647058823529,15.0,0.46179772260100427,0.5158568109659154,-0.45314660346551394,0.009073183158978738,0.7125478844703329,0.9271236408969026,1.0396661384658465,1.3170949655787383,0.1105670755244173,0.036967797821911834,1.1170622671338257
1,1,3,3,15.0,111.99426389176924,154.41088080849875,-62.82992192901584,-28.487529900477988,78.24671992425826,236.97426143140575,387.29752568584183,15.0,59.72654475461773,4.666423321490005,54.40243185489001,55.4904132737133,60.00973840245371,61.26610460664003,68.49487240404034,15.0,471.8,198.21207978180485,204.0,276.0,449.0,642.5,765.0,15.0,57.06666666666667,2.7894358535288784,49.0,56.5,58.0,58.0,61.0,15.0,25.93939393939394,1.2679253879676717,22.272727272727273,25.68181818181818,26.363636363636363,26.363636363636363,27.727272727272727,15.0,38.64492867487423,8.366884111749282,25.0,32.212643678160916,40.35087719298245,45.0487012987013,50.0,15.0,0.4921923284464091,0.6617212560047928,-0.8072631714585795,-0.06079291762115932,0.7199756162202771,1.0789276912236554,1.248447817207912,1.378739191122509,0.07812980544348705,0.0488803011716509,1.3444363468514369
1,1,3,4,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,15.0,inf,,inf,,,,inf,,,,
