symbol,strategy,parameters,is_final,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,Total Trades per year
BTC/USD,hhhl,"{'window_entry': 2, 'hh_hl_counts': 2, 'window_exit': 3, 'lh_counts': 2}",1,2014-09-17,2024-01-24,3417,100.0,2248.06183287833,2148.06183287833,8663.195588713,100.0,282.0741836601573,36.29653831077294,696,193,193,0,0.0,42.487046632124354,61.88712342296364,-13.810393925002664,8.921012992404654,-3.1064804932972776,5 days 20:11:42.439024390,2 days 07:47:01.621621621,1.8123592590947715,11.129854056364398,1.12427232874741,1.0867042925702075,1.4572623747437061,1.926108567042949,20.333625987708515
BTC/USD,hhhl,"{'window_entry': 2, 'hh_hl_counts': 2, 'window_exit': 2, 'lh_counts': 2}",,2014-09-17,2024-01-24,3417,100.0,3300.4427187356137,3200.4427187356137,8663.195588713,100.0,453.5575302333162,39.063300399673096,652,210,210,0,0.0,41.42857142857143,87.45007496409268,-13.81039392500267,9.296700245659597,-2.959260125781097,6 days 08:00:00,2 days 06:38:02.926829268,1.787989895075982,15.240203422550554,1.1950849214145094,1.1591982011160138,1.464497919546477,2.083102451366764,22.12467076382792
BTC/USD,hhhl,"{'window_entry': 4, 'hh_hl_counts': 1, 'window_exit': 2, 'lh_counts': 1}",1,2014-09-17,2024-01-24,3417,100.0,8430.48989348049,8330.48989348049,8663.195588713,100.0,1595.5561226815457,43.02206868209091,807,231,231,0,0.0,33.76623376623377,126.88194568427782,-14.223737939822506,13.810023668029647,-3.107686836783569,12 days 16:18:27.692307692,3 days 02:40:00,1.4808540789228277,36.062726811603866,1.2840295088846327,1.4083373305340745,1.353222764901038,2.119938533741595,24.337137840210712
BTC/USD,hhhl,"{'window_entry': 4, 'hh_hl_counts': 1, 'window_exit': 3, 'lh_counts': 1}",,2014-09-17,2024-01-24,3417,100.0,9808.883240189874,9708.883240189874,8663.195588713,100.0,1584.4090850038215,49.18892861421119,826,193,193,0,0.0,36.787564766839374,126.8819456842778,-14.223737939822495,14.589505396895913,-3.4728039007879583,12 days 23:39:43.098591549,3 days 12:00:00,1.5262986846118123,50.305094508755786,1.33530994524486,1.2850127278477304,1.3879225003006086,2.2147137562322023,20.333625987708515
BTC/USD,hhhl,"{'window_entry': 3, 'hh_hl_counts': 1, 'window_exit': 7, 'lh_counts': 4}",1,2014-09-17,2024-01-24,3417,100.0,8405.18514191897,8305.18514191897,8663.195588713,100.0,1257.7046738892782,43.58990370483167,965,187,187,0,0.0,37.967914438502675,104.94847686212614,-14.609119151330926,12.777963511771636,-3.0205059149326434,11 days 06:25:21.126760563,3 days 13:26:53.793103448,1.5631843477234149,44.41275476962015,1.3509874673890356,1.3888084638256002,1.4181997081094997,2.2726275801921725,19.70149253731343
BTC/USD,hhhl,"{'window_entry': 2, 'hh_hl_counts': 1, 'window_exit': 4, 'lh_counts': 1}",1,2014-09-17,2024-01-24,3417,100.0,9902.430455857908,9802.430455857908,8663.195588713,100.0,2154.8438146484673,45.21419194665053,1047,285,285,0,0.0,36.84210526315789,83.72352350030187,-10.200389472559339,10.007051298625091,-2.6627107275921533,6 days 19:12:00,2 days 05:44:00,1.4848150598624208,34.39449282757161,1.4217303235388399,1.401638689635382,1.4771864101628018,2.5257613894698263,30.02633889376646
BTC/USD,hhhl,"{'window_entry': 3, 'hh_hl_counts': 1, 'window_exit': 7, 'lh_counts': 1}",,2014-09-17,2024-01-24,3417,100.0,10491.462337850116,10391.462337850116,8663.195588713,100.0,1628.9645791175333,43.48106281387227,1047,193,193,0,0.0,38.860103626943,104.94847686212614,-14.223737939822515,12.554552326876514,-3.011803629303515,9 days 19:12:00,3 days 06:18:18.305084745,1.554873079824489,53.84177377124411,1.4396436132549064,1.480769916046227,1.4747017292302904,2.4710372793176183,20.333625987708515
BTC/USD,hhhl,"{'window_entry': 5, 'hh_hl_counts': 1, 'window_exit': 2, 'lh_counts': 2}",,2014-09-17,2024-01-24,3417,100.0,7155.531935965649,7055.53193596565,8663.195588713,100.0,1277.092577049235,55.8981780911208,1047,228,228,0,0.0,29.385964912280706,152.60797017731528,-18.608150847276622,18.265745311305,-3.5421785364816256,17 days 13:15:13.432835820,4 days 13:42:51.428571428,1.409728858504641,30.94531550862129,1.172512066374945,1.0340471028259126,1.2751063093209578,1.8608104616315573,24.021071115013168
BTC/USD,hhhl,"{'window_entry': 3, 'hh_hl_counts': 2, 'window_exit': 2, 'lh_counts': 2}",1,2014-09-17,2024-01-24,3417,100.0,2656.626217091637,2556.626217091637,8663.195588713,100.0,439.44063780961307,52.53611467521131,1016,206,206,0,0.0,38.83495145631068,96.10237992062166,-13.810393925002662,11.033551492617484,-3.481825466208454,8 days 15:18:00,2 days 20:34:17.142857142,1.5030677302678044,12.41080687908562,1.0705848683717443,0.7985601748159954,1.3456366901065704,1.7541756711664347,21.70324846356453
BTC/USD,hhhl,"{'window_entry': 2, 'hh_hl_counts': 1, 'window_exit': 8, 'lh_counts': 1}",,2014-09-17,2024-01-24,3417,100.0,10879.286401430914,10779.286401430914,8663.195588713,100.0,1628.790407210178,34.608225086843326,521,215,215,0,0.0,39.53488372093023,83.7235235003019,-9.240770825724006,10.253256127682494,-2.3832945607837273,6 days 20:36:42.352941176,2 days 09:47:04.615384615,1.8033950056989498,50.13621582060887,1.571399865692014,1.8788618882795187,1.6198885354017152,2.8908974523178914,22.651448639157156
