custom_window_entry,custom_hh_hl_counts,custom_window_exit,custom_lh_counts,Total Return [%]_count,Total Return [%]_mean,Total Return [%]_std,Total Return [%]_min,Total Return [%]_25%,Total Return [%]_50%,Total Return [%]_75%,Total Return [%]_max,Max Drawdown [%]_count,Max Drawdown [%]_mean,Max Drawdown [%]_std,Max Drawdown [%]_min,Max Drawdown [%]_25%,Max Drawdown [%]_50%,Max Drawdown [%]_75%,Max Drawdown [%]_max,Max Drawdown Duration_count,Max Drawdown Duration_mean,Max Drawdown Duration_std,Max Drawdown Duration_min,Max Drawdown Duration_25%,Max Drawdown Duration_50%,Max Drawdown Duration_75%,Max Drawdown Duration_max,Total Trades_count,Total Trades_mean,Total Trades_std,Total Trades_min,Total Trades_25%,Total Trades_50%,Total Trades_75%,Total Trades_max,Total Trades per year_count,Total Trades per year_mean,Total Trades per year_std,Total Trades per year_min,Total Trades per year_25%,Total Trades per year_50%,Total Trades per year_75%,Total Trades per year_max,Win Rate [%]_count,Win Rate [%]_mean,Win Rate [%]_std,Win Rate [%]_min,Win Rate [%]_25%,Win Rate [%]_50%,Win Rate [%]_75%,Win Rate [%]_max,Sharpe Ratio_count,Sharpe Ratio_mean,Sharpe Ratio_std,Sharpe Ratio_min,Sharpe Ratio_25%,Sharpe Ratio_50%,Sharpe Ratio_75%,Sharpe Ratio_max,Total Return [%]_std_perc,Max Drawdown [%]_std_perc,Total Trades_std_perc,Sharpe Ratio_std_perc
1,1,1,1,15.0,40.50419758524528,34.99587612451607,-5.926412066836846,13.725038094395778,34.33783901767919,67.54645782219396,98.28935434283876,15.0,18.86764726051343,4.759726934253179,15.377287970239456,15.61443566264679,15.851583355054121,24.311801278578876,25.924151446420385,15.0,267.1333333333333,151.44110909462304,99.0,162.0,174.0,391.5,525.0,15.0,79.73333333333333,3.473710792030141,75.0,78.0,79.0,81.0,87.0,15.0,43.889908256880744,1.912134380934023,41.28440366972477,42.93577981651376,43.48623853211009,44.58715596330275,47.88990825688074,15.0,49.37267853035534,5.105231059745414,41.25,45.558232931726906,48.68421052631579,53.160493827160494,57.692307692307686,15.0,0.8058993100064927,0.5353663498305307,-0.010275397258046621,0.38576979580520354,0.9526541169535333,1.28378588316173,1.4763033724485033,0.8640061576547375,0.25226923466045637,0.043566606923454945,0.6643092296805881
1,1,1,2,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,15.0,inf,,inf,,,,inf,,,,
1,1,1,3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,15.0,inf,,inf,,,,inf,,,,
1,1,1,4,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,15.0,inf,,inf,,,,inf,,,,
1,1,1,5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,15.0,inf,,inf,,,,inf,,,,
1,1,2,1,15.0,40.50419758524528,34.99587612451607,-5.926412066836846,13.725038094395778,34.33783901767919,67.54645782219396,98.28935434283876,15.0,18.86764726051343,4.759726934253179,15.377287970239456,15.61443566264679,15.851583355054121,24.311801278578876,25.924151446420385,15.0,267.1333333333333,151.44110909462304,99.0,162.0,174.0,391.5,525.0,15.0,79.73333333333333,3.473710792030141,75.0,78.0,79.0,81.0,87.0,15.0,43.889908256880744,1.912134380934023,41.28440366972477,42.93577981651376,43.48623853211009,44.58715596330275,47.88990825688074,15.0,49.37267853035534,5.105231059745414,41.25,45.558232931726906,48.68421052631579,53.160493827160494,57.692307692307686,15.0,0.8058993100064927,0.5353663498305307,-0.010275397258046621,0.38576979580520354,0.9526541169535333,1.28378588316173,1.4763033724485033,0.8640061576547375,0.25226923466045637,0.043566606923454945,0.6643092296805881
1,1,2,2,15.0,30.280086736011548,24.015163941185317,3.064941331936467,9.538983213752637,19.20322274171633,49.85793254544435,65.31985574614681,15.0,28.87679475937773,9.307162972513453,16.611666033859056,23.474589108402665,24.142874327949766,40.357804535466066,41.377659208439624,15.0,309.06666666666666,154.6385031829611,169.0,219.0,231.0,391.5,609.0,15.0,66.66666666666667,4.1518785191880605,61.0,63.0,66.0,70.0,74.0,15.0,36.69724770642202,2.2854377169842524,33.57798165137615,34.678899082568805,36.330275229357795,38.53211009174312,40.73394495412844,15.0,48.326064493412694,4.274861825188313,41.269841269841265,44.44444444444444,49.23076923076923,52.14329454990814,53.84615384615385,15.0,0.6320742355393354,0.37401924707342504,0.20717358801295083,0.31986143640324893,0.5203968677495336,0.9004752579022107,1.4084359947082041,0.7931008966570934,0.32230595708656185,0.0622781777878209,0.5917331003917323
1,1,2,3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,15.0,inf,,inf,,,,inf,,,,
1,1,2,4,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,15.0,inf,,inf,,,,inf,,,,
1,1,2,5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,15.0,inf,,inf,,,,inf,,,,
